material,material_harmonized,metal_classes,energy_transition_materials,critical_materials
Aggregates,Aggregates,Non-metal,False,False
Alumina,Aluminium,Non-metal,True,True
Alumina hydrate,Aluminium,Non-metal,True,True
Aluminium,Aluminium,Metal,True,True
Aluminium hydroxide,Aluminium,Metal,True,True
Aluminum,Aluminium,Metal,True,True
Anthracite,Coal,Non-metal,False,False
Antimony,Antimony,Metal,True,True
Arsenic,Arsenic,Metalloid,False,True
Asbestos,Asbestos,Non-metal,False,True
Barite,Barite,Non-metal,False,False
Bauxite,Aluminium,Non-metal,True,True
Beryl,Beryl,Non-metal,False,False
Beryllium,Beryllium,Metal,True,True
Bismuth,Bismuth,Metal,False,True
Bituminous coal,Coal,Non-metal,False,False
Bituminous coking coal,Coal,Non-metal,False,False
Bituminous thermal coal,Coal,Non-metal,False,False
Borates,Borates,Non-metal,True,True
Boron,Boron,Metalloid,True,True
Brown coal,Coal,Non-metal,False,False
Cadmium,Cadmium,Metal,False,True
Caesium,Caesium,Metal,False,True
Calcine,Calcine,Non-metal,False,False
Calcium Carbonate,Calcium Carbonate,Non-metal,False,False
Cerium,Rare Earth Element,Rare Earth,True,True
Chemical grade Alumina,Aluminium,Non-metal,True,True
Chrome,Chromium,Metal,True,True
Chromite,Chromite,Non-metal,True,True
Chromium,Chromium,Metal,True,True
Coal,Coal,Non-metal,False,False
Cobalt,Cobalt,Metal,True,True
Cobalt hydroxide,Cobalt,Metal,True,True
Coking coal,Coal,Non-metal,False,False
Coking coal concentrate,Coal,Non-metal,False,False
Coper Anodes,Copper,Metal,True,True
Copper,Copper,Metal,True,True
Copper Cathode,Copper,Metal,True,True
Copper anode,Copper,Metal,True,True
Copper anodes,Copper,Metal,True,True
Copper cathode,Copper,Metal,True,True
Copper cathodes,Copper,Metal,True,True
Diamonds,Diamonds,Non-metal,False,False
Direct Reduction Iron Pellets,,Metal,False,False
Direct shipping iron ore,Iron,Metal,False,False
Dolomite,Dolomite,Non-metal,False,False
Dysprosium,Rare Earth Element,Rare Earth,True,True
Emerald,Emerald,Non-metal,False,False
Erbium,Rare Earth Element,Rare Earth,True,True
Europium,Rare Earth Element,Rare Earth,True,True
Ferrite Strontium Powder,Strontium,Metal,False,True
Ferrochrome,Ferrochrome,Metal,False,True
Ferromanganese,Ferromanganese,Metal,False,True
Ferronickel,Ferronickel,Metal,True,True
Ferroniobium,Ferroniobium,Metal,True,True
Ferrotungsten,Ferrotungsten,Metal,True,True
Ferrovanadium,Ferrovanadium,Metal,True,True
Fluorspar,Fluorspar,Non-metal,True,True
Frac Sand,Frac Sand,Non-metal,True,False
Gadolinium,Rare Earth Element,Rare Earth,True,True
Gallium,Gallium,Metal,True,True
Garnet,Garnet,Non-metal,False,False
Germanium,Germanium,Metalloid,True,True
Gold,Gold,Metal,False,True
Graphite,Graphite,Non-metal,True,True
Gypsum,Gypsum,Non-metal,False,False
Hafnium,Titanium,Rare Earth,True,True
Hard coal,Coal,Non-metal,False,False
Hard coking coal,Coal,Non-metal,False,False
Heavy Mineral Sands,Heavy Mineral Sands,Non-metal,False,False
Heavy Rare Earths and Yttrium,Rare Earth Element,Rare Earth,True,True
Hematite,Hematite,Metal,False,False
Holmium,Rare Earth Element,Rare Earth,True,True
Hot briquetted Iron,Iron,Metal,False,False
Ilmenite,Titanium,Non-metal,True,True
Indium,Indium,Metal,True,True
Iridium,Platinum Group Element,Metal,True,True
Iron,Iron,Metal,False,False
Iron Ore,Iron,Metal,False,False
Iron Sand,Iron,Metal,False,False
Iron concentrate,Iron,Metal,False,False
Iron ore,Iron,Metal,False,False
Iron ore concentrate,Iron,Metal,False,False
Iron ore fines,Iron,Metal,False,False
Iron ore lumps,Iron,Metal,False,False
Iron ore pellets,Iron,Metal,False,False
Iron pellets,Iron,Metal,False,False
Jade,Jade,Non-metal,False,False
Kaolin,Kaolin,Non-metal,False,False
Lanthanides,Rare Earth Element,Rare Earth,True,True
